datetimeUTC,USGS:05320270:63680:00001,USGS:05320270:63680:00001_qualifiers,USGS:05320270:63680:00002,USGS:05320270:63680:00002_qualifiers,USGS:05320270:63680:00003,USGS:05320270:63680:00003_qualifiers
2005-06-08 00:00:00+00:00,89.0,A,46.0,A,72.6,A
2005-06-09 00:00:00+00:00,79.0,A,61.0,A,71.6,A
2005-06-10 00:00:00+00:00,61.0,A,55.0,A,57.4,A
2005-06-11 00:00:00+00:00,59.0,A,53.0,A,55.7,A
2005-06-12 00:00:00+00:00,60.0,A,51.0,A,54.4,A
2005-06-13 00:00:00+00:00,61.0,A,50.0,A,53.4,A
2005-06-14 00:00:00+00:00,66.0,A,48.0,A,52.5,A
2005-06-15 00:00:00+00:00,56.0,A,44.0,A,48.0,A
2005-06-16 00:00:00+00:00,47.0,A,42.0,A,44.5,A
2005-06-17 00:00:00+00:00,45.0,A,40.0,A,42.8,A
2005-06-18 00:00:00+00:00,46.0,A,40.0,A,42.8,A
2005-06-19 00:00:00+00:00,48.0,A,38.0,A,45.0,A
2005-06-20 00:00:00+00:00,71.0,A,36.0,A,44.9,A
2005-06-21 00:00:00+00:00,45.0,A,34.0,A,41.3,A
2005-06-22 00:00:00+00:00,49.0,A,32.0,A,40.0,A
2005-06-23 00:00:00+00:00,47.0,A,31.0,A,38.7,A
2005-06-24 00:00:00+00:00,54.0,A,28.0,A,42.5,A
2005-06-25 00:00:00+00:00,62.0,A,38.0,A,48.2,A
2005-06-26 00:00:00+00:00,53.0,A,41.0,A,46.4,A
2005-06-27 00:00:00+00:00,57.0,A,38.0,A,44.4,A
2005-06-28 00:00:00+00:00,70.0,A,36.0,A,50.4,A
2005-06-29 00:00:00+00:00,71.0,A,61.0,A,66.9,A
2005-06-30 00:00:00+00:00,98.0,A,58.0,A,71.1,A
2005-07-01 00:00:00+00:00,84.0,A,64.0,A,71.8,A
2005-07-02 00:00:00+00:00,66.0,A,54.0,A,59.9,A
2005-07-03 00:00:00+00:00,180.0,A,49.0,A,64.5,A
2005-07-04 00:00:00+00:00,67.0,A,55.0,A,60.2,A
2005-07-05 00:00:00+00:00,86.0,A,52.0,A,62.8,A
2005-07-06 00:00:00+00:00,97.0,A,61.0,A,72.8,A
2005-07-07 00:00:00+00:00,77.0,A,54.0,A,65.8,A
2005-07-08 00:00:00+00:00,74.0,A,48.0,A,62.5,A
2005-07-09 00:00:00+00:00,84.0,A,49.0,A,63.6,A
2005-07-10 00:00:00+00:00,100.0,A,46.0,A,66.7,A
2005-07-11 00:00:00+00:00,110.0,A,54.0,A,67.3,A
2005-07-12 00:00:00+00:00,92.0,A,49.0,A,61.9,A
2005-07-13 00:00:00+00:00,67.0,A,46.0,A,55.7,A
2005-07-14 00:00:00+00:00,62.0,A,42.0,A,48.8,A
2005-07-15 00:00:00+00:00,56.0,A,33.0,A,42.0,A
2005-07-16 00:00:00+00:00,70.0,A,39.0,A,44.5,A
2005-07-17 00:00:00+00:00,160.0,A,32.0,A,45.6,A
2005-07-18 00:00:00+00:00,73.0,A,32.0,A,41.4,A
2005-07-19 00:00:00+00:00,85.0,A,26.0,A,33.5,A
2005-07-20 00:00:00+00:00,49.0,A,22.0,A,29.2,A
2005-07-21 00:00:00+00:00,52.0,A,21.0,A,27.7,A
2005-07-22 00:00:00+00:00,55.0,A,23.0,A,33.7,A
2005-07-23 00:00:00+00:00,110.0,A,40.0,A,66.9,A
2005-07-24 00:00:00+00:00,92.0,A,50.0,A,71.2,A
2005-07-25 00:00:00+00:00,110.0,A,43.0,A,58.5,A
2005-07-26 00:00:00+00:00,140.0,A,34.0,A,54.6,A
2005-07-27 00:00:00+00:00,97.0,A,20.0,A,33.3,A
2005-07-28 00:00:00+00:00,43.0,A,18.0,A,22.6,A
2005-07-29 00:00:00+00:00,33.0,A,21.0,A,24.6,A
2005-07-30 00:00:00+00:00,71.0,A,18.0,A,23.1,A
2005-07-31 00:00:00+00:00,29.0,A,16.0,A,21.9,A
2005-08-01 00:00:00+00:00,43.0,A,15.0,A,22.6,A
2005-08-02 00:00:00+00:00,24.0,A,14.0,A,17.9,A
2005-08-03 00:00:00+00:00,31.0,A,,hf.missing,,hf.missing
2005-08-04 00:00:00+00:00,30.0,A,18.0,A,23.6,A
2005-08-05 00:00:00+00:00,27.0,A,19.0,A,23.0,A
2005-08-06 00:00:00+00:00,36.0,A,23.0,A,27.0,A
2005-08-07 00:00:00+00:00,35.0,A,20.0,A,25.4,A
2005-08-08 00:00:00+00:00,110.0,A,19.0,A,26.7,A
2005-08-09 00:00:00+00:00,72.0,A,20.0,A,32.9,A
2005-08-10 00:00:00+00:00,72.0,A,27.0,A,39.3,A
2005-08-11 00:00:00+00:00,37.0,A,28.0,A,31.8,A
2005-08-12 00:00:00+00:00,45.0,A,30.0,A,35.5,A
2005-08-13 00:00:00+00:00,40.0,A,30.0,A,34.7,A
2005-08-14 00:00:00+00:00,50.0,A,33.0,A,38.7,A
2005-08-15 00:00:00+00:00,39.0,A,27.0,A,32.9,A
2005-08-16 00:00:00+00:00,40.0,A,28.0,A,30.8,A
2005-08-17 00:00:00+00:00,68.0,A,22.0,A,30.0,A
2005-08-18 00:00:00+00:00,63.0,A,25.0,A,40.2,A
2005-08-19 00:00:00+00:00,34.0,A,22.0,A,26.0,A
2005-08-20 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-08-21 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-08-22 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-08-23 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-08-24 00:00:00+00:00,24.0,A,13.0,A,19.9,A
2005-08-25 00:00:00+00:00,25.0,A,12.0,A,18.4,A
2005-08-26 00:00:00+00:00,90.0,A,13.0,A,42.9,A
2005-08-27 00:00:00+00:00,38.0,A,23.0,A,27.7,A
2005-08-28 00:00:00+00:00,62.0,A,26.0,A,32.4,A
2005-08-29 00:00:00+00:00,62.0,A,27.0,A,30.5,A
2005-08-30 00:00:00+00:00,47.0,A,28.0,A,32.4,A
2005-08-31 00:00:00+00:00,36.0,A,26.0,A,30.9,A
2005-09-01 00:00:00+00:00,35.0,A,22.0,A,27.0,A
2005-09-02 00:00:00+00:00,39.0,A,22.0,A,26.6,A
2005-09-03 00:00:00+00:00,36.0,A,23.0,A,27.3,A
2005-09-04 00:00:00+00:00,35.0,A,20.0,A,26.9,A
2005-09-05 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-06 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-07 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-08 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-09 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-10 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-11 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-12 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-13 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-14 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-15 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-16 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-17 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-18 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-19 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-20 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-21 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-22 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-23 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-24 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-25 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-26 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-27 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-28 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-29 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-09-30 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-01 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-02 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-03 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-04 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-05 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-06 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-07 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-08 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-09 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-10 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-11 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-12 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-13 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-14 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-15 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-16 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-17 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-18 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-19 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-20 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-21 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-22 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-23 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-24 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-25 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-26 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-27 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-28 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-29 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-30 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-10-31 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-01 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-02 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-03 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-04 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-05 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-06 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-07 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-08 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-09 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-10 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-11 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-12 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-13 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-14 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-15 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-16 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-17 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-18 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-19 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-20 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-21 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-22 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-23 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-24 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-25 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-26 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-27 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-28 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-29 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-11-30 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-01 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-02 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-03 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-04 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-05 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-06 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-07 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-08 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-09 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-10 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-11 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-12 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-13 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-14 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-15 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-16 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-17 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-18 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-19 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-20 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-21 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-22 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-23 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-24 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-25 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-26 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-27 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-28 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-29 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-30 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2005-12-31 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-01 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-02 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-03 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-04 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-05 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-06 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-07 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-08 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-09 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-10 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-11 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-12 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-13 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-14 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-15 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-16 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-17 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-18 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-01-19 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
